config,query_id,query,query_type,difficulty,scenario_id,precision_at_k,recall_at_k,mrr,root_cause_accuracy,confidence,iterations,latency_s
Dense-Only,Q001,What is the root cause of the failure affecting UE7?,root_cause,medium,S01,0.6664,0.4721,0.7246,0.5532,0.5334,1,2.57
Dense-Only,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,medium,S01,0.5637,0.5572,0.7967,0.221,0.5116,1,2.84
Dense-Only,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,hard,S01,0.457,0.0282,0.1858,0.1529,0.3648,1,3.06
Dense-Only,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,medium,S01,0.6058,0.3554,0.2577,0.2169,0.5958,1,3.53
Dense-Only,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,medium,S01,0.5015,0.522,0.4438,0.3633,0.506,1,3.89
Dense-Only,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,easy,S01,0.7014,0.4277,0.7443,0.2861,0.6332,1,4.36
Dense-Only,Q007,What is the root cause of the failure affecting UE1?,root_cause,medium,S02,0.7212,0.2772,0.6544,0.0213,0.4514,1,4.49
Dense-Only,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,medium,S02,0.6361,0.5464,0.7761,0.1608,0.4323,1,3.02
Dense-Only,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,hard,S02,0.339,0.5629,0.5168,0.0,0.4651,1,2.61
Dense-Only,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,medium,S02,0.4883,0.5868,0.742,0.4422,0.6076,1,2.61
Dense-Only,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,medium,S02,0.452,0.4463,0.681,0.4518,0.5151,1,3.1
Dense-Only,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,easy,S02,0.7193,0.8239,0.6264,0.4983,0.6559,1,3.44
Dense-Only,Q013,What is the root cause of the failure affecting UE11?,root_cause,medium,S03,0.6438,0.3809,0.6788,0.5537,0.5483,1,3.55
Dense-Only,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,medium,S03,0.8659,0.4352,0.6253,0.1161,0.6292,1,3.52
Dense-Only,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,hard,S03,0.3795,0.4369,0.6983,0.1535,0.3802,1,4.4
Dense-Only,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,medium,S03,0.4687,0.5723,0.7853,0.3425,0.5746,1,2.84
Dense-Only,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,medium,S03,0.6093,0.6764,0.5157,0.2636,0.5216,1,4.17
Dense-Only,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,easy,S03,0.5046,0.1336,0.8254,0.2916,0.612,1,3.16
Dense-Only,Q019,What is the root cause of the failure affecting UE22?,root_cause,medium,S04,0.5559,0.5697,0.9228,0.3367,0.5703,1,4.47
