config,query_id,query_type,keyword_accuracy,semantic_similarity,rouge_l,structured_score,composite_score
Dense-Only,Q001,root_cause,0.5532,0.733,0.6558,0.474,0.6129
Dense-Only,Q002,failure_tracing,0.221,0.5035,0.3731,0.5859,0.4597
Dense-Only,Q003,multi_hop,0.1529,0.2429,0.1621,0.9275,0.4186
Dense-Only,Q004,temporal,0.2169,0.3802,0.379,0.5014,0.3918
Dense-Only,Q005,impact_analysis,0.3633,0.3744,0.4658,0.4176,0.404
Dense-Only,Q006,error_code,0.2861,0.3718,0.3294,0.6367,0.4299
Dense-Only,Q007,root_cause,0.0213,0.2413,0.2205,0.7239,0.3489
Dense-Only,Q008,failure_tracing,0.1608,0.4346,0.1961,0.5774,0.3887
Dense-Only,Q009,multi_hop,0.0,0.3934,0.3075,0.4141,0.3234
Dense-Only,Q010,temporal,0.4422,0.5575,0.2463,0.627,0.4988
Dense-Only,Q011,impact_analysis,0.4518,0.7488,0.4106,0.4949,0.5604
Dense-Only,Q012,error_code,0.4983,0.6407,0.3372,0.5251,0.524
Dense-Only,Q013,root_cause,0.5537,0.6538,0.4542,0.5846,0.5781
Dense-Only,Q014,failure_tracing,0.1161,0.409,0.3113,0.66,0.4208
Dense-Only,Q015,multi_hop,0.1535,0.3014,0.2888,0.6014,0.3667
Dense-Only,Q016,temporal,0.3425,0.5104,0.3404,0.5926,0.4759
Dense-Only,Q017,impact_analysis,0.2636,0.2894,0.2887,0.4983,0.3481
Dense-Only,Q018,error_code,0.2916,0.2913,0.3299,0.6519,0.4072
Dense-Only,Q019,root_cause,0.3367,0.546,0.3554,0.6812,0.517
Dense-Only,Q020,failure_tracing,0.1474,0.4045,0.3248,0.4962,0.3775
Dense-Only,Q021,multi_hop,0.2835,0.438,0.3812,0.6211,0.4584
Dense-Only,Q022,temporal,0.1745,0.1043,0.2171,0.9519,0.3917
Dense-Only,Q023,impact_analysis,0.669,0.6082,0.4773,0.676,0.6115
Dense-Only,Q024,error_code,0.366,0.5071,0.5178,0.4313,0.4653
Dense-Only,Q025,root_cause,0.5364,0.6596,0.5715,0.5987,0.6052
Dense-Only,Q026,failure_tracing,0.47,0.5726,0.5627,0.7508,0.6087
Dense-Only,Q027,multi_hop,0.3351,0.3139,0.4102,0.6103,0.4253
Dense-Only,Q028,temporal,0.3267,0.4548,0.3744,0.5975,0.4623
Dense-Only,Q029,impact_analysis,0.3897,0.6268,0.4356,0.4521,0.5006
Dense-Only,Q030,error_code,0.4996,0.5025,0.4685,0.8044,0.5858
Dense-Only,Q031,root_cause,0.207,0.4466,0.2317,0.9928,0.5315
Dense-Only,Q032,failure_tracing,0.4889,0.5751,0.5956,0.5972,0.5729
Dense-Only,Q033,multi_hop,0.1007,0.3744,0.3366,0.8027,0.4543
Dense-Only,Q034,temporal,0.2464,0.5247,0.4432,0.5727,0.4811
Dense-Only,Q035,impact_analysis,0.115,0.2504,0.2544,0.76,0.3838
Dense-Only,Q036,error_code,0.5402,0.5474,0.5868,0.8379,0.6413
Dense-Only,Q037,root_cause,0.1821,0.2493,0.1639,0.5989,0.327
Dense-Only,Q038,failure_tracing,0.5419,0.6121,0.4479,0.8228,0.6319
Dense-Only,Q039,multi_hop,0.366,0.5205,0.4065,0.4046,0.4398
Dense-Only,Q040,temporal,0.031,0.1107,0.1737,0.3001,0.1682
Dense-Only,Q041,impact_analysis,0.1405,0.4558,0.2771,1.0,0.536
Dense-Only,Q042,error_code,0.5913,0.8817,0.5829,0.604,0.6951
Dense-Only,Q043,root_cause,0.4161,0.6191,0.6225,0.3743,0.5159
Dense-Only,Q044,failure_tracing,0.2606,0.192,0.1996,0.7074,0.3584
Dense-Only,Q045,multi_hop,0.4014,0.5505,0.5327,0.44,0.4914
Dense-Only,Q046,temporal,0.2869,0.1442,0.3438,0.4958,0.311
Dense-Only,Q047,impact_analysis,0.0771,0.054,0.1616,0.739,0.2845
Dense-Only,Q048,error_code,0.362,0.4526,0.3348,0.5961,0.4585
Dense-Only,Q049,root_cause,0.2064,0.3294,0.1466,0.5128,0.3294
Dense-Only,Q050,failure_tracing,0.2137,0.4408,0.3499,0.6452,0.4499
Dense-Only,Q051,multi_hop,0.1383,0.2136,0.2012,0.2934,0.2238
Dense-Only,Q052,temporal,0.4496,0.5412,0.5851,0.3989,0.4935
Dense-Only,Q053,impact_analysis,0.2375,0.3222,0.3246,0.8079,0.4557
Dense-Only,Q054,error_code,0.2773,0.3626,0.2505,0.3247,0.316
Dense-Only,Q055,root_cause,0.4344,0.5231,0.6349,0.6616,0.5737
Dense-Only,Q056,failure_tracing,0.2721,0.4106,0.3642,0.6183,0.4429
Dense-Only,Q057,multi_hop,0.5598,0.4883,0.5527,0.6539,0.5616
Dense-Only,Q058,temporal,0.1856,0.3635,0.1857,0.8155,0.4369
Dense-Only,Q059,impact_analysis,0.2764,0.4956,0.3039,0.7703,0.5068
Dense-Only,Q060,error_code,0.4507,0.4607,0.3403,0.506,0.4487
Dense-Only,Q061,cross_scenario,0.1815,0.1464,0.2637,0.3453,0.2348
Dense-Only,Q062,cross_scenario,0.1486,0.1917,0.0094,0.6071,0.2734
Dense-Only,Q063,cross_scenario,0.4743,0.5165,0.412,0.4636,0.4734
Dense-Only,Q064,cross_scenario,0.3217,0.3024,0.3658,0.5374,0.3885
Dense-Only,Q065,contrastive,0.382,0.5172,0.3194,0.6472,0.4963
BM25-Only,Q001,root_cause,0.3231,0.6003,0.4679,0.5581,0.5196
BM25-Only,Q002,failure_tracing,0.2404,0.4251,0.2996,0.6212,0.4311
BM25-Only,Q003,multi_hop,0.3336,0.4111,0.3403,0.6518,0.4575
BM25-Only,Q004,temporal,0.2385,0.2739,0.176,0.4117,0.2904
BM25-Only,Q005,impact_analysis,0.0,0.058,0.0,0.6439,0.2135
BM25-Only,Q006,error_code,0.4815,0.4318,0.4735,0.6252,0.5056
BM25-Only,Q007,root_cause,0.481,0.3024,0.4486,0.7416,0.4902
BM25-Only,Q008,failure_tracing,0.3499,0.3407,0.3842,0.4915,0.396
BM25-Only,Q009,multi_hop,0.0985,0.3208,0.1092,0.351,0.2542
BM25-Only,Q010,temporal,0.4338,0.4643,0.4004,0.5603,0.4758
BM25-Only,Q011,impact_analysis,0.3344,0.3086,0.2863,0.6604,0.4135
BM25-Only,Q012,error_code,0.3982,0.4835,0.4226,0.5195,0.4693
BM25-Only,Q013,root_cause,0.3085,0.5757,0.2785,0.6931,0.5114
