model,params,query_id,query,query_type,precision_at_k,recall_at_k,root_cause_accuracy,completeness,latency_s
Llama-3.3-70B,70B,Q001,What is the root cause of the failure affecting UE7?,root_cause,0.6074,0.8487,0.2948,0.6626,3.79
Llama-3.3-70B,70B,Q002,What error occurred in the RRC module and what were its downstream effects?,failure_tracing,0.8478,0.8171,0.2723,0.777,4.78
Llama-3.3-70B,70B,Q003,Trace the complete chain of events from enodeb_rrc.log to core_nw_amf.log that led to the rrc reconfiguration failure cascade.,multi_hop,0.7647,0.6111,0.2377,0.5884,4.55
Llama-3.3-70B,70B,Q004,What events occurred during the rrc reconfiguration failure cascade incident and in what order?,temporal,0.7168,0.6068,0.523,0.6169,3.92
Llama-3.3-70B,70B,Q005,What was the impact of the rrc reconfiguration failure cascade on user equipment and network services?,impact_analysis,0.7522,0.8967,0.2873,0.6035,4.96
Llama-3.3-70B,70B,Q006,What does error code RRC_RECONFIG_FAIL_004 indicate and what caused it?,error_code,0.8927,0.8192,0.4831,0.8207,4.83
Llama-3.3-70B,70B,Q007,What is the root cause of the failure affecting UE1?,root_cause,0.9182,0.8873,0.3105,0.6302,5.15
Llama-3.3-70B,70B,Q008,What error occurred in the SCTP module and what were its downstream effects?,failure_tracing,0.784,0.6699,0.2911,0.6062,5.82
Llama-3.3-70B,70B,Q009,Trace the complete chain of events from transport_sctp.log to ran_cell.log that led to the sctp transport link failure.,multi_hop,0.6527,0.499,0.256,0.5137,5.11
Llama-3.3-70B,70B,Q010,What events occurred during the sctp transport link failure incident and in what order?,temporal,0.7509,0.9152,0.2117,0.6067,3.72
Llama-3.3-70B,70B,Q011,What was the impact of the sctp transport link failure on user equipment and network services?,impact_analysis,0.8041,0.5685,0.2363,0.6527,4.87
Llama-3.3-70B,70B,Q012,What does error code SCTP_HEARTBEAT_TIMEOUT_084 indicate and what caused it?,error_code,0.9421,0.8808,0.4007,0.8444,3.21
Llama-3.3-70B,70B,Q013,What is the root cause of the failure affecting UE11?,root_cause,0.971,0.8755,0.1865,0.7811,2.98
Llama-3.3-70B,70B,Q014,What error occurred in the HANDOVER module and what were its downstream effects?,failure_tracing,0.925,0.8395,0.1501,0.7878,3.74
Llama-3.3-70B,70B,Q015,Trace the complete chain of events from ran_cell.log to enodeb_rrc.log that led to the inter-gnb handover failure.,multi_hop,0.7463,0.6123,0.3592,0.6022,3.54
Llama-3.3-70B,70B,Q016,What events occurred during the inter-gnb handover failure incident and in what order?,temporal,0.9701,0.8077,0.2439,0.8417,2.99
Llama-3.3-70B,70B,Q017,What was the impact of the inter-gnb handover failure on user equipment and network services?,impact_analysis,0.6665,0.7846,0.4335,0.7186,4.11
Llama-3.3-70B,70B,Q018,What does error code SCHED_RESOURCE_EXHAUST_137 indicate and what caused it?,error_code,0.8972,0.8834,0.2976,0.8216,5.14
Llama-3.3-70B,70B,Q019,What is the root cause of the failure affecting UE22?,root_cause,0.7995,0.8189,0.3003,0.6105,5.07
Llama-3.3-70B,70B,Q020,What error occurred in the PCF module and what were its downstream effects?,failure_tracing,0.8135,0.7185,0.565,0.8133,3.65
Llama-3.3-70B,70B,Q021,Trace the complete chain of events from core_nw_amf.log to cu_cp_f1ap.log that led to the pdu session establishment rejection.,multi_hop,0.6018,0.6114,0.3252,0.562,5.11
Llama-3.3-70B,70B,Q022,What events occurred during the pdu session establishment rejection incident and in what order?,temporal,0.7456,0.6322,0.5831,0.7019,4.72
